197:	test: 0.9303416	best: 0.9471144 (32)	total: 19m 5s	remaining: 29m 6s
198:	test: 0.9303545	best: 0.9471144 (32)	total: 19m 10s	remaining: 28m 59s
199:	test: 0.9303625	best: 0.9471144 (32)	total: 19m 15s	remaining: 28m 52s
200:	test: 0.9303623	best: 0.9471144 (32)	total: 19m 17s	remaining: 28m 42s
201:	test: 0.9303937	best: 0.9471144 (32)	total: 19m 26s	remaining: 28m 41s
202:	test: 0.9303959	best: 0.9471144 (32)	total: 19m 29s	remaining: 28m 31s
203:	test: 0.9303963	best: 0.9471144 (32)	total: 19m 41s	remaining: 28m 34s
204:	test: 0.9303953	best: 0.9471144 (32)	total: 19m 47s	remaining: 28m 29s
205:	test: 0.9304458	best: 0.9471144 (32)	total: 19m 52s	remaining: 28m 21s
206:	test: 0.9304258	best: 0.9471144 (32)	total: 19m 57s	remaining: 28m 15s
207:	test: 0.9304249	best: 0.9471144 (32)	total: 20m 3s	remaining: 28m 9s
208:	test: 0.9304247	best: 0.9471144 (32)	total: 20m 6s	remaining: 27m 59s
209:	test: 0.9304435	best: 0.9471144 (32)	total: 20m 11s	remaining: 27m 53s
210:	test: 0.9302988	best: 0.9471144 (32)	total: 20m 17s	remaining: 27m 46s
211:	test: 0.9302891	best: 0.9471144 (32)	total: 20m 20s	remaining: 27m 37s
212:	test: 0.9302875	best: 0.9471144 (32)	total: 20m 23s	remaining: 27m 28s
213:	test: 0.9302943	best: 0.9471144 (32)	total: 20m 31s	remaining: 27m 25s
214:	test: 0.9302947	best: 0.9471144 (32)	total: 20m 34s	remaining: 27m 16s
215:	test: 0.9302560	best: 0.9471144 (32)	total: 20m 40s	remaining: 27m 11s
216:	test: 0.9302677	best: 0.9471144 (32)	total: 20m 42s	remaining: 27m
217:	test: 0.9302793	best: 0.9471144 (32)	total: 20m 47s	remaining: 26m 53s
218:	test: 0.9302910	best: 0.9471144 (32)	total: 20m 51s	remaining: 26m 46s
219:	test: 0.9303332	best: 0.9471144 (32)	total: 20m 53s	remaining: 26m 35s
220:	test: 0.9303421	best: 0.9471144 (32)	total: 20m 58s	remaining: 26m 28s
221:	test: 0.9303489	best: 0.9471144 (32)	total: 21m	remaining: 26m 18s
222:	test: 0.9302245	best: 0.9471144 (32)	total: 21m 5s	remaining: 26m 11s
223:	test: 0.9302495	best: 0.9471144 (32)	total: 21m 8s	remaining: 26m 2s
224:	test: 0.9302509	best: 0.9471144 (32)	total: 21m 13s	remaining: 25m 57s
225:	test: 0.9302544	best: 0.9471144 (32)	total: 21m 16s	remaining: 25m 47s
226:	test: 0.9302507	best: 0.9471144 (32)	total: 21m 19s	remaining: 25m 39s
227:	test: 0.9302507	best: 0.9471144 (32)	total: 21m 21s	remaining: 25m 29s
228:	test: 0.9300109	best: 0.9471144 (32)	total: 21m 28s	remaining: 25m 24s
229:	test: 0.9300154	best: 0.9471144 (32)	total: 21m 30s	remaining: 25m 15s
230:	test: 0.9300828	best: 0.9471144 (32)	total: 21m 36s	remaining: 25m 9s
231:	test: 0.9300829	best: 0.9471144 (32)	total: 21m 38s	remaining: 25m
232:	test: 0.9300714	best: 0.9471144 (32)	total: 21m 41s	remaining: 24m 51s
233:	test: 0.9300733	best: 0.9471144 (32)	total: 21m 43s	remaining: 24m 42s
234:	test: 0.9300852	best: 0.9471144 (32)	total: 21m 49s	remaining: 24m 36s
235:	test: 0.9301142	best: 0.9471144 (32)	total: 21m 52s	remaining: 24m 28s
236:	test: 0.9301008	best: 0.9471144 (32)	total: 21m 56s	remaining: 24m 21s
237:	test: 0.9300990	best: 0.9471144 (32)	total: 22m 1s	remaining: 24m 15s
238:	test: 0.9300859	best: 0.9471144 (32)	total: 22m 4s	remaining: 24m 6s
239:	test: 0.9300862	best: 0.9471144 (32)	total: 22m 6s	remaining: 23m 57s
240:	test: 0.9300739	best: 0.9471144 (32)	total: 22m 10s	remaining: 23m 50s
241:	test: 0.9300443	best: 0.9471144 (32)	total: 22m 14s	remaining: 23m 42s
242:	test: 0.9300445	best: 0.9471144 (32)	total: 22m 16s	remaining: 23m 33s
243:	test: 0.9300439	best: 0.9471144 (32)	total: 22m 19s	remaining: 23m 25s
244:	test: 0.9300441	best: 0.9471144 (32)	total: 22m 21s	remaining: 23m 16s
245:	test: 0.9300379	best: 0.9471144 (32)	total: 22m 25s	remaining: 23m 9s
246:	test: 0.9300389	best: 0.9471144 (32)	total: 22m 27s	remaining: 23m
247:	test: 0.9300358	best: 0.9471144 (32)	total: 22m 30s	remaining: 22m 51s
248:	test: 0.9300308	best: 0.9471144 (32)	total: 22m 36s	remaining: 22m 47s
249:	test: 0.9300312	best: 0.9471144 (32)	total: 22m 38s	remaining: 22m 38s
250:	test: 0.9300371	best: 0.9471144 (32)	total: 22m 41s	remaining: 22m 30s
251:	test: 0.9300488	best: 0.9471144 (32)	total: 22m 44s	remaining: 22m 22s
252:	test: 0.9300472	best: 0.9471144 (32)	total: 22m 48s	remaining: 22m 16s
253:	test: 0.9300173	best: 0.9471144 (32)	total: 22m 53s	remaining: 22m 10s
254:	test: 0.9300156	best: 0.9471144 (32)	total: 22m 56s	remaining: 22m 2s
255:	test: 0.9300255	best: 0.9471144 (32)	total: 23m 1s	remaining: 21m 56s
256:	test: 0.9300141	best: 0.9471144 (32)	total: 23m 9s	remaining: 21m 53s
257:	test: 0.9300142	best: 0.9471144 (32)	total: 23m 11s	remaining: 21m 44s
258:	test: 0.9299965	best: 0.9471144 (32)	total: 23m 15s	remaining: 21m 38s
259:	test: 0.9299959	best: 0.9471144 (32)	total: 23m 18s	remaining: 21m 31s
260:	test: 0.9300790	best: 0.9471144 (32)	total: 23m 22s	remaining: 21m 23s
261:	test: 0.9300716	best: 0.9471144 (32)	total: 23m 24s	remaining: 21m 15s
262:	test: 0.9300504	best: 0.9471144 (32)	total: 23m 26s	remaining: 21m 7s
263:	test: 0.9299964	best: 0.9471144 (32)	total: 23m 30s	remaining: 21m 1s
264:	test: 0.9299971	best: 0.9471144 (32)	total: 23m 35s	remaining: 20m 54s
265:	test: 0.9299977	best: 0.9471144 (32)	total: 23m 37s	remaining: 20m 47s
266:	test: 0.9300586	best: 0.9471144 (32)	total: 23m 45s	remaining: 20m 43s
267:	test: 0.9300648	best: 0.9471144 (32)	total: 23m 47s	remaining: 20m 36s
268:	test: 0.9300566	best: 0.9471144 (32)	total: 23m 50s	remaining: 20m 28s
269:	test: 0.9300493	best: 0.9471144 (32)	total: 23m 53s	remaining: 20m 20s
270:	test: 0.9300661	best: 0.9471144 (32)	total: 23m 59s	remaining: 20m 16s
271:	test: 0.9300291	best: 0.9471144 (32)	total: 24m 5s	remaining: 20m 11s
272:	test: 0.9300179	best: 0.9471144 (32)	total: 24m 7s	remaining: 20m 3s
273:	test: 0.9300179	best: 0.9471144 (32)	total: 24m 9s	remaining: 19m 55s
274:	test: 0.9300015	best: 0.9471144 (32)	total: 24m 14s	remaining: 19m 50s
275:	test: 0.9299958	best: 0.9471144 (32)	total: 24m 23s	remaining: 19m 47s
276:	test: 0.9299944	best: 0.9471144 (32)	total: 24m 25s	remaining: 19m 39s
277:	test: 0.9299615	best: 0.9471144 (32)	total: 24m 29s	remaining: 19m 33s
278:	test: 0.9299541	best: 0.9471144 (32)	total: 24m 32s	remaining: 19m 26s
279:	test: 0.9298749	best: 0.9471144 (32)	total: 24m 40s	remaining: 19m 23s
280:	test: 0.9298752	best: 0.9471144 (32)	total: 24m 42s	remaining: 19m 15s
281:	test: 0.9298786	best: 0.9471144 (32)	total: 24m 45s	remaining: 19m 8s
282:	test: 0.9298845	best: 0.9471144 (32)	total: 24m 51s	remaining: 19m 3s
283:	test: 0.9298985	best: 0.9471144 (32)	total: 24m 53s	remaining: 18m 55s
284:	test: 0.9298980	best: 0.9471144 (32)	total: 24m 57s	remaining: 18m 49s
285:	test: 0.9299064	best: 0.9471144 (32)	total: 24m 59s	remaining: 18m 42s
286:	test: 0.9300296	best: 0.9471144 (32)	total: 25m 4s	remaining: 18m 36s
287:	test: 0.9300330	best: 0.9471144 (32)	total: 25m 7s	remaining: 18m 29s
288:	test: 0.9300318	best: 0.9471144 (32)	total: 25m 10s	remaining: 18m 22s
289:	test: 0.9299966	best: 0.9471144 (32)	total: 25m 13s	remaining: 18m 16s
290:	test: 0.9299919	best: 0.9471144 (32)	total: 25m 16s	remaining: 18m 9s
291:	test: 0.9299900	best: 0.9471144 (32)	total: 25m 18s	remaining: 18m 1s
