272:	test: 0.9454635	best: 0.9454635 (272)	total: 58.7s	remaining: 48.8s
273:	test: 0.9454828	best: 0.9454828 (273)	total: 58.9s	remaining: 48.6s
274:	test: 0.9454988	best: 0.9454988 (274)	total: 59.1s	remaining: 48.4s
275:	test: 0.9455442	best: 0.9455442 (275)	total: 59.4s	remaining: 48.2s
276:	test: 0.9455763	best: 0.9455763 (276)	total: 59.6s	remaining: 48s
277:	test: 0.9456097	best: 0.9456097 (277)	total: 59.8s	remaining: 47.7s
278:	test: 0.9456225	best: 0.9456225 (278)	total: 60s	remaining: 47.5s
279:	test: 0.9456587	best: 0.9456587 (279)	total: 1m	remaining: 47.3s
280:	test: 0.9457057	best: 0.9457057 (280)	total: 1m	remaining: 47.1s
281:	test: 0.9457604	best: 0.9457604 (281)	total: 1m	remaining: 46.9s
282:	test: 0.9457830	best: 0.9457830 (282)	total: 1m	remaining: 46.6s
283:	test: 0.9458166	best: 0.9458166 (283)	total: 1m 1s	remaining: 46.4s
284:	test: 0.9458436	best: 0.9458436 (284)	total: 1m 1s	remaining: 46.2s
285:	test: 0.9458554	best: 0.9458554 (285)	total: 1m 1s	remaining: 46s
286:	test: 0.9458889	best: 0.9458889 (286)	total: 1m 1s	remaining: 45.8s
287:	test: 0.9459301	best: 0.9459301 (287)	total: 1m 1s	remaining: 45.5s
288:	test: 0.9459507	best: 0.9459507 (288)	total: 1m 2s	remaining: 45.3s
289:	test: 0.9459605	best: 0.9459605 (289)	total: 1m 2s	remaining: 45.1s
290:	test: 0.9459988	best: 0.9459988 (290)	total: 1m 2s	remaining: 44.9s
291:	test: 0.9460202	best: 0.9460202 (291)	total: 1m 2s	remaining: 44.7s
292:	test: 0.9460230	best: 0.9460230 (292)	total: 1m 2s	remaining: 44.4s
293:	test: 0.9460444	best: 0.9460444 (293)	total: 1m 3s	remaining: 44.2s
294:	test: 0.9460826	best: 0.9460826 (294)	total: 1m 3s	remaining: 44s
295:	test: 0.9461067	best: 0.9461067 (295)	total: 1m 3s	remaining: 43.8s
296:	test: 0.9461338	best: 0.9461338 (296)	total: 1m 3s	remaining: 43.6s
297:	test: 0.9461509	best: 0.9461509 (297)	total: 1m 3s	remaining: 43.3s
298:	test: 0.9461816	best: 0.9461816 (298)	total: 1m 4s	remaining: 43.1s
299:	test: 0.9462114	best: 0.9462114 (299)	total: 1m 4s	remaining: 42.9s
300:	test: 0.9462388	best: 0.9462388 (300)	total: 1m 4s	remaining: 42.7s
301:	test: 0.9462568	best: 0.9462568 (301)	total: 1m 4s	remaining: 42.5s
302:	test: 0.9462714	best: 0.9462714 (302)	total: 1m 5s	remaining: 42.3s
303:	test: 0.9463010	best: 0.9463010 (303)	total: 1m 5s	remaining: 42.1s
304:	test: 0.9463031	best: 0.9463031 (304)	total: 1m 5s	remaining: 41.8s
305:	test: 0.9463230	best: 0.9463230 (305)	total: 1m 5s	remaining: 41.6s
306:	test: 0.9463568	best: 0.9463568 (306)	total: 1m 5s	remaining: 41.4s
307:	test: 0.9463763	best: 0.9463763 (307)	total: 1m 6s	remaining: 41.2s
308:	test: 0.9464159	best: 0.9464159 (308)	total: 1m 6s	remaining: 40.9s
309:	test: 0.9464321	best: 0.9464321 (309)	total: 1m 6s	remaining: 40.7s
310:	test: 0.9464443	best: 0.9464443 (310)	total: 1m 6s	remaining: 40.5s
311:	test: 0.9464324	best: 0.9464443 (310)	total: 1m 6s	remaining: 40.3s
312:	test: 0.9464475	best: 0.9464475 (312)	total: 1m 7s	remaining: 40.1s
313:	test: 0.9464777	best: 0.9464777 (313)	total: 1m 7s	remaining: 39.8s
314:	test: 0.9464922	best: 0.9464922 (314)	total: 1m 7s	remaining: 39.6s
315:	test: 0.9465132	best: 0.9465132 (315)	total: 1m 7s	remaining: 39.4s
316:	test: 0.9465442	best: 0.9465442 (316)	total: 1m 7s	remaining: 39.2s
317:	test: 0.9465586	best: 0.9465586 (317)	total: 1m 8s	remaining: 39s
318:	test: 0.9466007	best: 0.9466007 (318)	total: 1m 8s	remaining: 38.7s
319:	test: 0.9466280	best: 0.9466280 (319)	total: 1m 8s	remaining: 38.5s
320:	test: 0.9466609	best: 0.9466609 (320)	total: 1m 8s	remaining: 38.3s
