234:	learn: 0.0238462	total: 14m 37s	remaining: 16m 29s
235:	learn: 0.0238380	total: 14m 39s	remaining: 16m 23s
236:	learn: 0.0238283	total: 14m 40s	remaining: 16m 17s
237:	learn: 0.0238145	total: 14m 43s	remaining: 16m 12s
238:	learn: 0.0238074	total: 14m 45s	remaining: 16m 7s
239:	learn: 0.0237980	total: 14m 49s	remaining: 16m 3s
240:	learn: 0.0237909	total: 14m 50s	remaining: 15m 57s
241:	learn: 0.0237832	total: 14m 52s	remaining: 15m 51s
242:	learn: 0.0237759	total: 15m 2s	remaining: 15m 54s
243:	learn: 0.0237679	total: 15m 6s	remaining: 15m 50s
244:	learn: 0.0237606	total: 15m 7s	remaining: 15m 45s
245:	learn: 0.0237344	total: 15m 10s	remaining: 15m 40s
246:	learn: 0.0237243	total: 15m 12s	remaining: 15m 34s
247:	learn: 0.0237071	total: 15m 16s	remaining: 15m 30s
248:	learn: 0.0236929	total: 15m 18s	remaining: 15m 26s
249:	learn: 0.0236833	total: 15m 20s	remaining: 15m 20s
250:	learn: 0.0236754	total: 15m 21s	remaining: 15m 14s
251:	learn: 0.0236660	total: 15m 24s	remaining: 15m 9s
252:	learn: 0.0236546	total: 15m 27s	remaining: 15m 5s
253:	learn: 0.0236414	total: 15m 30s	remaining: 15m 1s
254:	learn: 0.0236229	total: 15m 32s	remaining: 14m 55s
255:	learn: 0.0236168	total: 15m 33s	remaining: 14m 50s
256:	learn: 0.0236108	total: 15m 35s	remaining: 14m 44s
257:	learn: 0.0235923	total: 15m 37s	remaining: 14m 39s
258:	learn: 0.0235856	total: 15m 39s	remaining: 14m 34s
259:	learn: 0.0235688	total: 15m 41s	remaining: 14m 29s
260:	learn: 0.0235628	total: 15m 42s	remaining: 14m 23s
261:	learn: 0.0235549	total: 15m 46s	remaining: 14m 19s
262:	learn: 0.0235457	total: 15m 47s	remaining: 14m 13s
263:	learn: 0.0235336	total: 15m 50s	remaining: 14m 9s
264:	learn: 0.0235187	total: 15m 52s	remaining: 14m 5s
265:	learn: 0.0235122	total: 15m 55s	remaining: 14m
266:	learn: 0.0234990	total: 15m 57s	remaining: 13m 55s
267:	learn: 0.0234853	total: 16m 5s	remaining: 13m 55s
268:	learn: 0.0234772	total: 16m 6s	remaining: 13m 50s
269:	learn: 0.0234690	total: 16m 8s	remaining: 13m 45s
270:	learn: 0.0234553	total: 16m 10s	remaining: 13m 40s
271:	learn: 0.0234476	total: 16m 11s	remaining: 13m 34s
272:	learn: 0.0234361	total: 16m 16s	remaining: 13m 31s
