153:	learn: 7.6703189	test: 8.9887196	best: 8.9886947 (152)	total: 42s	remaining: 1m 34s
154:	learn: 7.6640273	test: 8.9881923	best: 8.9881923 (154)	total: 42.2s	remaining: 1m 33s
155:	learn: 7.6574470	test: 8.9876040	best: 8.9876040 (155)	total: 42.5s	remaining: 1m 33s
156:	learn: 7.6498871	test: 8.9855569	best: 8.9855569 (156)	total: 42.8s	remaining: 1m 33s
157:	learn: 7.6427327	test: 8.9849480	best: 8.9849480 (157)	total: 43.1s	remaining: 1m 33s
158:	learn: 7.6362095	test: 8.9847140	best: 8.9847140 (158)	total: 43.4s	remaining: 1m 32s
159:	learn: 7.6296072	test: 8.9852429	best: 8.9847140 (158)	total: 43.6s	remaining: 1m 32s
160:	learn: 7.6232532	test: 8.9852823	best: 8.9847140 (158)	total: 43.9s	remaining: 1m 32s
161:	learn: 7.6156169	test: 8.9852130	best: 8.9847140 (158)	total: 44.1s	remaining: 1m 32s
162:	learn: 7.6089747	test: 8.9845623	best: 8.9845623 (162)	total: 44.5s	remaining: 1m 31s
163:	learn: 7.6027793	test: 8.9847053	best: 8.9845623 (162)	total: 44.8s	remaining: 1m 31s
164:	learn: 7.5967917	test: 8.9845368	best: 8.9845368 (164)	total: 45.1s	remaining: 1m 31s
165:	learn: 7.5908650	test: 8.9838954	best: 8.9838954 (165)	total: 45.4s	remaining: 1m 31s
166:	learn: 7.5845656	test: 8.9832158	best: 8.9832158 (166)	total: 45.7s	remaining: 1m 31s
167:	learn: 7.5785250	test: 8.9833457	best: 8.9832158 (166)	total: 46s	remaining: 1m 30s
168:	learn: 7.5718654	test: 8.9831580	best: 8.9831580 (168)	total: 46.2s	remaining: 1m 30s
169:	learn: 7.5651355	test: 8.9827173	best: 8.9827173 (169)	total: 46.5s	remaining: 1m 30s
170:	learn: 7.5585924	test: 8.9824771	best: 8.9824771 (170)	total: 46.9s	remaining: 1m 30s
171:	learn: 7.5521569	test: 8.9820845	best: 8.9820845 (171)	total: 47.2s	remaining: 1m 29s
172:	learn: 7.5449146	test: 8.9821868	best: 8.9820845 (171)	total: 47.5s	remaining: 1m 29s
173:	learn: 7.5389882	test: 8.9816025	best: 8.9816025 (173)	total: 47.9s	remaining: 1m 29s
174:	learn: 7.5319280	test: 8.9818459	best: 8.9816025 (173)	total: 48.2s	remaining: 1m 29s
175:	learn: 7.5266380	test: 8.9816046	best: 8.9816025 (173)	total: 48.4s	remaining: 1m 29s
176:	learn: 7.5202204	test: 8.9809439	best: 8.9809439 (176)	total: 48.7s	remaining: 1m 28s
177:	learn: 7.5141839	test: 8.9811193	best: 8.9809439 (176)	total: 48.9s	remaining: 1m 28s
178:	learn: 7.5081221	test: 8.9801836	best: 8.9801836 (178)	total: 49.2s	remaining: 1m 28s
179:	learn: 7.5012208	test: 8.9800333	best: 8.9800333 (179)	total: 49.4s	remaining: 1m 27s
180:	learn: 7.4951184	test: 8.9794568	best: 8.9794568 (180)	total: 49.7s	remaining: 1m 27s
181:	learn: 7.4894323	test: 8.9800133	best: 8.9794568 (180)	total: 49.9s	remaining: 1m 27s
182:	learn: 7.4831593	test: 8.9800396	best: 8.9794568 (180)	total: 50.2s	remaining: 1m 26s
183:	learn: 7.4768845	test: 8.9805740	best: 8.9794568 (180)	total: 50.5s	remaining: 1m 26s
184:	learn: 7.4712459	test: 8.9801776	best: 8.9794568 (180)	total: 50.8s	remaining: 1m 26s
185:	learn: 7.4649463	test: 8.9798172	best: 8.9794568 (180)	total: 51.1s	remaining: 1m 26s
186:	learn: 7.4586885	test: 8.9792841	best: 8.9792841 (186)	total: 51.4s	remaining: 1m 25s
187:	learn: 7.4532674	test: 8.9786227	best: 8.9786227 (187)	total: 51.6s	remaining: 1m 25s
188:	learn: 7.4481055	test: 8.9779391	best: 8.9779391 (188)	total: 51.9s	remaining: 1m 25s
189:	learn: 7.4427448	test: 8.9781851	best: 8.9779391 (188)	total: 52.3s	remaining: 1m 25s
190:	learn: 7.4364943	test: 8.9773142	best: 8.9773142 (190)	total: 52.6s	remaining: 1m 25s
191:	learn: 7.4307111	test: 8.9765142	best: 8.9765142 (191)	total: 52.9s	remaining: 1m 24s
192:	learn: 7.4249962	test: 8.9762908	best: 8.9762908 (192)	total: 53.1s	remaining: 1m 24s
193:	learn: 7.4190503	test: 8.9759607	best: 8.9759607 (193)	total: 53.4s	remaining: 1m 24s
194:	learn: 7.4114820	test: 8.9765302	best: 8.9759607 (193)	total: 53.6s	remaining: 1m 23s
195:	learn: 7.4064620	test: 8.9755515	best: 8.9755515 (195)	total: 53.9s	remaining: 1m 23s
196:	learn: 7.4004642	test: 8.9758195	best: 8.9755515 (195)	total: 54.2s	remaining: 1m 23s
197:	learn: 7.3946522	test: 8.9756366	best: 8.9755515 (195)	total: 54.6s	remaining: 1m 23s
198:	learn: 7.3885765	test: 8.9757799	best: 8.9755515 (195)	total: 54.8s	remaining: 1m 22s
199:	learn: 7.3845630	test: 8.9749719	best: 8.9749719 (199)	total: 55.1s	remaining: 1m 22s
200:	learn: 7.3784459	test: 8.9755215	best: 8.9749719 (199)	total: 55.4s	remaining: 1m 22s
201:	learn: 7.3726042	test: 8.9754902	best: 8.9749719 (199)	total: 55.6s	remaining: 1m 22s
202:	learn: 7.3670078	test: 8.9754392	best: 8.9749719 (199)	total: 55.9s	remaining: 1m 21s
203:	learn: 7.3614111	test: 8.9750854	best: 8.9749719 (199)	total: 56.2s	remaining: 1m 21s
204:	learn: 7.3557489	test: 8.9748256	best: 8.9748256 (204)	total: 56.5s	remaining: 1m 21s
205:	learn: 7.3502896	test: 8.9744003	best: 8.9744003 (205)	total: 56.7s	remaining: 1m 20s
