269:	test: 0.8004319	best: 0.8004319 (269)	total: 1h 54m 18s	remaining: 1h 37m 22s
270:	test: 0.8004508	best: 0.8004508 (270)	total: 1h 54m 41s	remaining: 1h 36m 54s
271:	test: 0.8004704	best: 0.8004704 (271)	total: 1h 55m 9s	remaining: 1h 36m 31s
272:	test: 0.8004942	best: 0.8004942 (272)	total: 1h 55m 52s	remaining: 1h 36m 20s
273:	test: 0.8005147	best: 0.8005147 (273)	total: 1h 56m 18s	remaining: 1h 35m 56s
274:	test: 0.8005352	best: 0.8005352 (274)	total: 1h 56m 53s	remaining: 1h 35m 38s
275:	test: 0.8005532	best: 0.8005532 (275)	total: 1h 57m 28s	remaining: 1h 35m 20s
276:	test: 0.8005710	best: 0.8005710 (276)	total: 1h 57m 51s	remaining: 1h 34m 53s
277:	test: 0.8005803	best: 0.8005803 (277)	total: 1h 58m 12s	remaining: 1h 34m 23s
278:	test: 0.8006048	best: 0.8006048 (278)	total: 1h 58m 45s	remaining: 1h 34m 4s
279:	test: 0.8006334	best: 0.8006334 (279)	total: 1h 59m 16s	remaining: 1h 33m 42s
280:	test: 0.8006619	best: 0.8006619 (280)	total: 1h 59m 42s	remaining: 1h 33m 17s
281:	test: 0.8006732	best: 0.8006732 (281)	total: 2h 6s	remaining: 1h 32m 50s
282:	test: 0.8006928	best: 0.8006928 (282)	total: 2h 37s	remaining: 1h 32m 29s
283:	test: 0.8007077	best: 0.8007077 (283)	total: 2h 1m 3s	remaining: 1h 32m 4s
