285:	learn: 0.4833594	total: 11m 16s	remaining: 8m 26s
286:	learn: 0.4833306	total: 11m 16s	remaining: 8m 22s
287:	learn: 0.4832176	total: 11m 19s	remaining: 8m 19s
288:	learn: 0.4831381	total: 11m 21s	remaining: 8m 17s
289:	learn: 0.4830228	total: 11m 23s	remaining: 8m 15s
290:	learn: 0.4829566	total: 11m 25s	remaining: 8m 12s
291:	learn: 0.4828708	total: 11m 28s	remaining: 8m 10s
292:	learn: 0.4828231	total: 11m 30s	remaining: 8m 7s
293:	learn: 0.4827652	total: 11m 31s	remaining: 8m 4s
294:	learn: 0.4826952	total: 11m 34s	remaining: 8m 2s
295:	learn: 0.4826543	total: 11m 36s	remaining: 7m 59s
296:	learn: 0.4826156	total: 11m 37s	remaining: 7m 56s
297:	learn: 0.4825633	total: 11m 38s	remaining: 7m 53s
298:	learn: 0.4825140	total: 11m 39s	remaining: 7m 50s
299:	learn: 0.4824570	total: 11m 41s	remaining: 7m 47s
300:	learn: 0.4824244	total: 11m 42s	remaining: 7m 44s
301:	learn: 0.4823631	total: 11m 45s	remaining: 7m 42s
302:	learn: 0.4823148	total: 11m 46s	remaining: 7m 39s
303:	learn: 0.4822610	total: 11m 48s	remaining: 7m 36s
304:	learn: 0.4822038	total: 11m 49s	remaining: 7m 33s
305:	learn: 0.4821449	total: 11m 51s	remaining: 7m 31s
306:	learn: 0.4820581	total: 11m 53s	remaining: 7m 28s
307:	learn: 0.4820066	total: 11m 55s	remaining: 7m 26s
308:	learn: 0.4819575	total: 11m 57s	remaining: 7m 23s
309:	learn: 0.4819070	total: 11m 58s	remaining: 7m 20s
310:	learn: 0.4818368	total: 12m 1s	remaining: 7m 18s
311:	learn: 0.4817874	total: 12m 2s	remaining: 7m 15s
312:	learn: 0.4817442	total: 12m 4s	remaining: 7m 12s
313:	learn: 0.4817098	total: 12m 5s	remaining: 7m 9s
314:	learn: 0.4816443	total: 12m 7s	remaining: 7m 7s
315:	learn: 0.4815588	total: 12m 9s	remaining: 7m 5s
316:	learn: 0.4814968	total: 12m 12s	remaining: 7m 2s
317:	learn: 0.4814341	total: 12m 14s	remaining: 7m
318:	learn: 0.4813924	total: 12m 16s	remaining: 6m 57s
319:	learn: 0.4813293	total: 12m 18s	remaining: 6m 55s
320:	learn: 0.4812603	total: 12m 20s	remaining: 6m 52s
321:	learn: 0.4812058	total: 12m 22s	remaining: 6m 50s
322:	learn: 0.4811368	total: 12m 24s	remaining: 6m 47s
323:	learn: 0.4810555	total: 12m 26s	remaining: 6m 45s
324:	learn: 0.4810233	total: 12m 27s	remaining: 6m 42s
325:	learn: 0.4809787	total: 12m 28s	remaining: 6m 39s
326:	learn: 0.4809335	total: 12m 30s	remaining: 6m 37s
327:	learn: 0.4808945	total: 12m 32s	remaining: 6m 34s
328:	learn: 0.4808538	total: 12m 33s	remaining: 6m 31s
329:	learn: 0.4807973	total: 12m 35s	remaining: 6m 29s
330:	learn: 0.4807585	total: 12m 37s	remaining: 6m 26s
331:	learn: 0.4807163	total: 12m 39s	remaining: 6m 24s
332:	learn: 0.4806718	total: 12m 40s	remaining: 6m 21s
333:	learn: 0.4806341	total: 12m 42s	remaining: 6m 18s
334:	learn: 0.4805926	total: 12m 43s	remaining: 6m 16s
335:	learn: 0.4805551	total: 12m 45s	remaining: 6m 13s
336:	learn: 0.4805042	total: 12m 46s	remaining: 6m 10s
