354:	learn: 0.0305871	total: 10m 31s	remaining: 4m 17s
355:	learn: 0.0305839	total: 10m 33s	remaining: 4m 16s
356:	learn: 0.0305808	total: 10m 36s	remaining: 4m 14s
357:	learn: 0.0305785	total: 10m 40s	remaining: 4m 13s
358:	learn: 0.0305762	total: 10m 42s	remaining: 4m 12s
359:	learn: 0.0305711	total: 10m 45s	remaining: 4m 11s
360:	learn: 0.0305702	total: 10m 49s	remaining: 4m 10s
361:	learn: 0.0305656	total: 10m 51s	remaining: 4m 8s
362:	learn: 0.0305636	total: 10m 55s	remaining: 4m 7s
363:	learn: 0.0305607	total: 10m 57s	remaining: 4m 5s
364:	learn: 0.0305543	total: 10m 59s	remaining: 4m 4s
365:	learn: 0.0305523	total: 11m 3s	remaining: 4m 2s
366:	learn: 0.0305504	total: 11m 6s	remaining: 4m 1s
367:	learn: 0.0305476	total: 11m 7s	remaining: 3m 59s
368:	learn: 0.0305444	total: 11m 9s	remaining: 3m 57s
369:	learn: 0.0305425	total: 11m 13s	remaining: 3m 56s
370:	learn: 0.0305397	total: 11m 15s	remaining: 3m 54s
371:	learn: 0.0305373	total: 11m 17s	remaining: 3m 53s
372:	learn: 0.0305321	total: 11m 20s	remaining: 3m 51s
373:	learn: 0.0305268	total: 11m 24s	remaining: 3m 50s
374:	learn: 0.0305242	total: 11m 26s	remaining: 3m 48s
375:	learn: 0.0305230	total: 11m 29s	remaining: 3m 47s
376:	learn: 0.0305209	total: 11m 33s	remaining: 3m 46s
377:	learn: 0.0305166	total: 11m 34s	remaining: 3m 44s
378:	learn: 0.0305138	total: 11m 37s	remaining: 3m 42s
379:	learn: 0.0305106	total: 11m 41s	remaining: 3m 41s
380:	learn: 0.0305081	total: 11m 44s	remaining: 3m 39s
381:	learn: 0.0305063	total: 11m 46s	remaining: 3m 38s
382:	learn: 0.0305037	total: 11m 50s	remaining: 3m 36s
383:	learn: 0.0305009	total: 11m 52s	remaining: 3m 35s
384:	learn: 0.0304983	total: 11m 54s	remaining: 3m 33s
385:	learn: 0.0304954	total: 11m 58s	remaining: 3m 32s
386:	learn: 0.0304933	total: 12m 1s	remaining: 3m 30s
387:	learn: 0.0304893	total: 12m 4s	remaining: 3m 29s
388:	learn: 0.0304855	total: 12m 7s	remaining: 3m 27s
389:	learn: 0.0304828	total: 12m 11s	remaining: 3m 26s
390:	learn: 0.0304807	total: 12m 14s	remaining: 3m 24s
391:	learn: 0.0304785	total: 12m 16s	remaining: 3m 22s
392:	learn: 0.0304747	total: 12m 20s	remaining: 3m 21s
393:	learn: 0.0304727	total: 12m 23s	remaining: 3m 20s
394:	learn: 0.0304688	total: 12m 26s	remaining: 3m 18s
395:	learn: 0.0304663	total: 12m 29s	remaining: 3m 16s
396:	learn: 0.0304638	total: 12m 32s	remaining: 3m 15s
397:	learn: 0.0304615	total: 12m 35s	remaining: 3m 13s
398:	learn: 0.0304571	total: 12m 39s	remaining: 3m 12s
399:	learn: 0.0304551	total: 12m 43s	remaining: 3m 10s
400:	learn: 0.0304532	total: 12m 47s	remaining: 3m 9s
401:	learn: 0.0304505	total: 12m 51s	remaining: 3m 8s
402:	learn: 0.0304480	total: 12m 53s	remaining: 3m 6s
403:	learn: 0.0304456	total: 12m 57s	remaining: 3m 4s
404:	learn: 0.0304426	total: 12m 59s	remaining: 3m 2s
405:	learn: 0.0304392	total: 13m 2s	remaining: 3m 1s
406:	learn: 0.0304372	total: 13m 6s	remaining: 2m 59s
407:	learn: 0.0304337	total: 13m 8s	remaining: 2m 57s
408:	learn: 0.0304314	total: 13m 13s	remaining: 2m 56s
409:	learn: 0.0304293	total: 13m 16s	remaining: 2m 54s
410:	learn: 0.0304269	total: 13m 19s	remaining: 2m 53s
411:	learn: 0.0304234	total: 13m 22s	remaining: 2m 51s
412:	learn: 0.0304200	total: 13m 24s	remaining: 2m 49s
413:	learn: 0.0304159	total: 13m 26s	remaining: 2m 47s
414:	learn: 0.0304143	total: 13m 30s	remaining: 2m 45s
415:	learn: 0.0304118	total: 13m 32s	remaining: 2m 44s
416:	learn: 0.0304087	total: 13m 34s	remaining: 2m 42s
417:	learn: 0.0304070	total: 13m 37s	remaining: 2m 40s
418:	learn: 0.0304049	total: 13m 40s	remaining: 2m 38s
419:	learn: 0.0304002	total: 13m 43s	remaining: 2m 36s
420:	learn: 0.0303980	total: 13m 47s	remaining: 2m 35s
421:	learn: 0.0303932	total: 13m 49s	remaining: 2m 33s
422:	learn: 0.0303893	total: 13m 53s	remaining: 2m 31s
423:	learn: 0.0303862	total: 13m 55s	remaining: 2m 29s
424:	learn: 0.0303841	total: 13m 59s	remaining: 2m 28s
425:	learn: 0.0303795	total: 14m 2s	remaining: 2m 26s
