248:	learn: 0.1796188	total: 11m 21s	remaining: 11m 27s
249:	learn: 0.1790568	total: 11m 24s	remaining: 11m 24s
250:	learn: 0.1785152	total: 11m 26s	remaining: 11m 21s
251:	learn: 0.1780053	total: 11m 29s	remaining: 11m 18s
252:	learn: 0.1774817	total: 11m 31s	remaining: 11m 15s
253:	learn: 0.1769329	total: 11m 33s	remaining: 11m 12s
254:	learn: 0.1764381	total: 11m 36s	remaining: 11m 9s
255:	learn: 0.1759263	total: 11m 38s	remaining: 11m 5s
256:	learn: 0.1753802	total: 11m 41s	remaining: 11m 3s
257:	learn: 0.1748658	total: 11m 43s	remaining: 11m
258:	learn: 0.1743424	total: 11m 46s	remaining: 10m 57s
259:	learn: 0.1738059	total: 11m 48s	remaining: 10m 54s
260:	learn: 0.1733039	total: 11m 51s	remaining: 10m 51s
261:	learn: 0.1727906	total: 11m 53s	remaining: 10m 48s
262:	learn: 0.1722829	total: 11m 55s	remaining: 10m 45s
263:	learn: 0.1717968	total: 11m 58s	remaining: 10m 42s
264:	learn: 0.1713162	total: 12m	remaining: 10m 39s
265:	learn: 0.1708011	total: 12m 3s	remaining: 10m 36s
266:	learn: 0.1702893	total: 12m 5s	remaining: 10m 33s
267:	learn: 0.1698200	total: 12m 8s	remaining: 10m 30s
268:	learn: 0.1693165	total: 12m 10s	remaining: 10m 27s
269:	learn: 0.1688258	total: 12m 13s	remaining: 10m 24s
270:	learn: 0.1683305	total: 12m 15s	remaining: 10m 21s
271:	learn: 0.1678529	total: 12m 17s	remaining: 10m 18s
272:	learn: 0.1673650	total: 12m 20s	remaining: 10m 15s
273:	learn: 0.1669141	total: 12m 22s	remaining: 10m 12s
274:	learn: 0.1664015	total: 12m 25s	remaining: 10m 9s
275:	learn: 0.1659087	total: 12m 27s	remaining: 10m 7s
276:	learn: 0.1654216	total: 12m 30s	remaining: 10m 4s
277:	learn: 0.1649247	total: 12m 32s	remaining: 10m 1s
278:	learn: 0.1644388	total: 12m 35s	remaining: 9m 58s
279:	learn: 0.1639336	total: 12m 37s	remaining: 9m 55s
280:	learn: 0.1634743	total: 12m 40s	remaining: 9m 52s
281:	learn: 0.1630188	total: 12m 42s	remaining: 9m 49s
282:	learn: 0.1625430	total: 12m 45s	remaining: 9m 46s
283:	learn: 0.1620579	total: 12m 47s	remaining: 9m 44s
284:	learn: 0.1615988	total: 12m 50s	remaining: 9m 41s
285:	learn: 0.1611296	total: 12m 52s	remaining: 9m 38s
286:	learn: 0.1606861	total: 12m 55s	remaining: 9m 35s
287:	learn: 0.1602289	total: 12m 57s	remaining: 9m 32s
288:	learn: 0.1597627	total: 13m	remaining: 9m 29s
289:	learn: 0.1593079	total: 13m 2s	remaining: 9m 26s
290:	learn: 0.1588287	total: 13m 5s	remaining: 9m 23s
291:	learn: 0.1583570	total: 13m 7s	remaining: 9m 21s
292:	learn: 0.1579221	total: 13m 9s	remaining: 9m 18s
293:	learn: 0.1574657	total: 13m 12s	remaining: 9m 15s
294:	learn: 0.1570115	total: 13m 14s	remaining: 9m 12s
295:	learn: 0.1565544	total: 13m 17s	remaining: 9m 9s
