295:	learn: 0.0236022	total: 18m 4s	remaining: 12m 27s
296:	learn: 0.0235968	total: 18m 7s	remaining: 12m 23s
297:	learn: 0.0235854	total: 18m 10s	remaining: 12m 18s
298:	learn: 0.0235661	total: 18m 11s	remaining: 12m 14s
299:	learn: 0.0235512	total: 18m 14s	remaining: 12m 9s
300:	learn: 0.0235428	total: 18m 16s	remaining: 12m 5s
301:	learn: 0.0235369	total: 18m 17s	remaining: 11m 59s
302:	learn: 0.0235304	total: 18m 19s	remaining: 11m 54s
303:	learn: 0.0235243	total: 18m 21s	remaining: 11m 50s
304:	learn: 0.0235166	total: 18m 24s	remaining: 11m 46s
305:	learn: 0.0235107	total: 18m 28s	remaining: 11m 42s
306:	learn: 0.0235015	total: 18m 30s	remaining: 11m 38s
307:	learn: 0.0234939	total: 18m 33s	remaining: 11m 33s
308:	learn: 0.0234819	total: 18m 34s	remaining: 11m 28s
309:	learn: 0.0234673	total: 18m 37s	remaining: 11m 24s
310:	learn: 0.0234602	total: 18m 38s	remaining: 11m 19s
311:	learn: 0.0234526	total: 18m 42s	remaining: 11m 16s
312:	learn: 0.0234404	total: 18m 44s	remaining: 11m 11s
313:	learn: 0.0234299	total: 18m 46s	remaining: 11m 7s
314:	learn: 0.0234208	total: 18m 50s	remaining: 11m 4s
315:	learn: 0.0234073	total: 18m 53s	remaining: 11m
316:	learn: 0.0233969	total: 18m 56s	remaining: 10m 55s
317:	learn: 0.0233896	total: 18m 58s	remaining: 10m 51s
318:	learn: 0.0233819	total: 19m	remaining: 10m 47s
319:	learn: 0.0233753	total: 19m 2s	remaining: 10m 42s
320:	learn: 0.0233696	total: 19m 3s	remaining: 10m 37s
321:	learn: 0.0233616	total: 19m 6s	remaining: 10m 33s
322:	learn: 0.0233514	total: 19m 8s	remaining: 10m 29s
323:	learn: 0.0233455	total: 19m 9s	remaining: 10m 24s
324:	learn: 0.0233382	total: 19m 13s	remaining: 10m 20s
325:	learn: 0.0233317	total: 19m 15s	remaining: 10m 16s
326:	learn: 0.0233147	total: 19m 18s	remaining: 10m 12s
327:	learn: 0.0233085	total: 19m 20s	remaining: 10m 8s
328:	learn: 0.0232989	total: 19m 23s	remaining: 10m 4s
329:	learn: 0.0232909	total: 19m 25s	remaining: 10m
330:	learn: 0.0232809	total: 19m 27s	remaining: 9m 56s
331:	learn: 0.0232684	total: 19m 30s	remaining: 9m 52s
332:	learn: 0.0232563	total: 19m 32s	remaining: 9m 48s
333:	learn: 0.0232447	total: 19m 34s	remaining: 9m 43s
334:	learn: 0.0232297	total: 19m 36s	remaining: 9m 39s
335:	learn: 0.0232194	total: 19m 38s	remaining: 9m 35s
336:	learn: 0.0232076	total: 19m 40s	remaining: 9m 31s
337:	learn: 0.0231984	total: 19m 42s	remaining: 9m 26s
338:	learn: 0.0231918	total: 19m 43s	remaining: 9m 21s
339:	learn: 0.0231829	total: 19m 44s	remaining: 9m 17s
340:	learn: 0.0231731	total: 19m 46s	remaining: 9m 13s
341:	learn: 0.0231633	total: 19m 51s	remaining: 9m 10s
342:	learn: 0.0231443	total: 19m 52s	remaining: 9m 5s
343:	learn: 0.0231392	total: 19m 55s	remaining: 9m 2s
344:	learn: 0.0231301	total: 19m 57s	remaining: 8m 57s
345:	learn: 0.0231196	total: 20m 1s	remaining: 8m 54s
346:	learn: 0.0231102	total: 20m 2s	remaining: 8m 50s
347:	learn: 0.0230998	total: 20m 4s	remaining: 8m 46s
