321:	learn: 0.0297199	total: 14.7s	remaining: 8.13s
322:	learn: 0.0297141	total: 14.8s	remaining: 8.09s
323:	learn: 0.0297093	total: 14.8s	remaining: 8.04s
324:	learn: 0.0297030	total: 14.8s	remaining: 7.99s
325:	learn: 0.0296979	total: 14.9s	remaining: 7.94s
326:	learn: 0.0296942	total: 14.9s	remaining: 7.89s
327:	learn: 0.0296896	total: 15s	remaining: 7.84s
328:	learn: 0.0296844	total: 15s	remaining: 7.79s
329:	learn: 0.0296801	total: 15s	remaining: 7.74s
330:	learn: 0.0296754	total: 15.1s	remaining: 7.69s
331:	learn: 0.0296711	total: 15.1s	remaining: 7.64s
332:	learn: 0.0296658	total: 15.1s	remaining: 7.59s
333:	learn: 0.0296614	total: 15.2s	remaining: 7.54s
334:	learn: 0.0296557	total: 15.2s	remaining: 7.5s
335:	learn: 0.0296516	total: 15.3s	remaining: 7.45s
336:	learn: 0.0296459	total: 15.3s	remaining: 7.4s
337:	learn: 0.0296420	total: 15.3s	remaining: 7.35s
338:	learn: 0.0296363	total: 15.4s	remaining: 7.3s
339:	learn: 0.0296314	total: 15.4s	remaining: 7.26s
340:	learn: 0.0296269	total: 15.5s	remaining: 7.22s
341:	learn: 0.0296215	total: 15.5s	remaining: 7.18s
342:	learn: 0.0296159	total: 15.6s	remaining: 7.13s
343:	learn: 0.0296103	total: 15.6s	remaining: 7.08s
344:	learn: 0.0296048	total: 15.7s	remaining: 7.04s
345:	learn: 0.0295994	total: 15.7s	remaining: 6.99s
346:	learn: 0.0295944	total: 15.7s	remaining: 6.94s
347:	learn: 0.0295893	total: 15.8s	remaining: 6.89s
348:	learn: 0.0295834	total: 15.8s	remaining: 6.84s
349:	learn: 0.0295775	total: 15.9s	remaining: 6.8s
350:	learn: 0.0295713	total: 15.9s	remaining: 6.75s
351:	learn: 0.0295657	total: 16s	remaining: 6.71s
352:	learn: 0.0295598	total: 16s	remaining: 6.67s
353:	learn: 0.0295533	total: 16.1s	remaining: 6.62s
354:	learn: 0.0295468	total: 16.1s	remaining: 6.58s
355:	learn: 0.0295418	total: 16.1s	remaining: 6.53s
356:	learn: 0.0295363	total: 16.2s	remaining: 6.48s
357:	learn: 0.0295296	total: 16.2s	remaining: 6.44s
358:	learn: 0.0295248	total: 16.3s	remaining: 6.39s
359:	learn: 0.0295186	total: 16.3s	remaining: 6.35s
360:	learn: 0.0295125	total: 16.4s	remaining: 6.3s
361:	learn: 0.0295066	total: 16.4s	remaining: 6.25s
362:	learn: 0.0295015	total: 16.4s	remaining: 6.21s
363:	learn: 0.0294963	total: 16.5s	remaining: 6.16s
364:	learn: 0.0294908	total: 16.5s	remaining: 6.11s
365:	learn: 0.0294858	total: 16.6s	remaining: 6.07s
366:	learn: 0.0294805	total: 16.6s	remaining: 6.02s
367:	learn: 0.0294752	total: 16.7s	remaining: 5.98s
368:	learn: 0.0294691	total: 16.7s	remaining: 5.93s
369:	learn: 0.0294648	total: 16.7s	remaining: 5.88s
370:	learn: 0.0294602	total: 16.8s	remaining: 5.83s
371:	learn: 0.0294544	total: 16.8s	remaining: 5.79s
372:	learn: 0.0294497	total: 16.9s	remaining: 5.74s
373:	learn: 0.0294436	total: 16.9s	remaining: 5.7s
374:	learn: 0.0294390	total: 16.9s	remaining: 5.65s
375:	learn: 0.0294338	total: 17s	remaining: 5.6s
376:	learn: 0.0294285	total: 17s	remaining: 5.55s
377:	learn: 0.0294235	total: 17.1s	remaining: 5.51s
378:	learn: 0.0294182	total: 17.1s	remaining: 5.46s
379:	learn: 0.0294123	total: 17.1s	remaining: 5.41s
380:	learn: 0.0294075	total: 17.2s	remaining: 5.37s
381:	learn: 0.0294024	total: 17.2s	remaining: 5.32s
382:	learn: 0.0293960	total: 17.3s	remaining: 5.28s
383:	learn: 0.0293901	total: 17.3s	remaining: 5.23s
384:	learn: 0.0293844	total: 17.4s	remaining: 5.18s
385:	learn: 0.0293787	total: 17.4s	remaining: 5.14s
386:	learn: 0.0293724	total: 17.4s	remaining: 5.09s
387:	learn: 0.0293663	total: 17.5s	remaining: 5.05s
388:	learn: 0.0293609	total: 17.5s	remaining: 5s
389:	learn: 0.0293556	total: 17.6s	remaining: 4.96s
390:	learn: 0.0293498	total: 17.6s	remaining: 4.91s
391:	learn: 0.0293442	total: 17.7s	remaining: 4.86s
392:	learn: 0.0293390	total: 17.7s	remaining: 4.82s
393:	learn: 0.0293331	total: 17.7s	remaining: 4.77s
394:	learn: 0.0293280	total: 17.8s	remaining: 4.72s
395:	learn: 0.0293216	total: 17.8s	remaining: 4.68s
396:	learn: 0.0293154	total: 17.9s	remaining: 4.63s
397:	learn: 0.0293106	total: 17.9s	remaining: 4.59s
398:	learn: 0.0293055	total: 17.9s	remaining: 4.54s
399:	learn: 0.0293000	total: 18s	remaining: 4.49s
400:	learn: 0.0292942	total: 18s	remaining: 4.45s
401:	learn: 0.0292889	total: 18.1s	remaining: 4.4s
402:	learn: 0.0292833	total: 18.1s	remaining: 4.36s
403:	learn: 0.0292779	total: 18.1s	remaining: 4.31s
404:	learn: 0.0292730	total: 18.2s	remaining: 4.26s
405:	learn: 0.0292686	total: 18.2s	remaining: 4.22s
406:	learn: 0.0292645	total: 18.3s	remaining: 4.17s
407:	learn: 0.0292592	total: 18.3s	remaining: 4.12s
408:	learn: 0.0292528	total: 18.3s	remaining: 4.08s
409:	learn: 0.0292471	total: 18.4s	remaining: 4.03s
410:	learn: 0.0292414	total: 18.4s	remaining: 3.99s
411:	learn: 0.0292364	total: 18.4s	remaining: 3.94s
412:	learn: 0.0292296	total: 18.5s	remaining: 3.9s
413:	learn: 0.0292247	total: 18.5s	remaining: 3.85s
414:	learn: 0.0292192	total: 18.6s	remaining: 3.8s
415:	learn: 0.0292140	total: 18.6s	remaining: 3.76s
416:	learn: 0.0292091	total: 18.6s	remaining: 3.71s
417:	learn: 0.0292040	total: 18.7s	remaining: 3.67s
418:	learn: 0.0291988	total: 18.7s	remaining: 3.62s
419:	learn: 0.0291931	total: 18.8s	remaining: 3.57s
420:	learn: 0.0291879	total: 18.8s	remaining: 3.53s
421:	learn: 0.0291830	total: 18.8s	remaining: 3.48s
422:	learn: 0.0291774	total: 18.9s	remaining: 3.44s
423:	learn: 0.0291722	total: 18.9s	remaining: 3.39s
424:	learn: 0.0291669	total: 19s	remaining: 3.34s
425:	learn: 0.0291614	total: 19s	remaining: 3.3s
426:	learn: 0.0291568	total: 19s	remaining: 3.25s
427:	learn: 0.0291523	total: 19.1s	remaining: 3.21s
428:	learn: 0.0291477	total: 19.1s	remaining: 3.16s
429:	learn: 0.0291414	total: 19.1s	remaining: 3.12s
430:	learn: 0.0291366	total: 19.2s	remaining: 3.07s
431:	learn: 0.0291310	total: 19.2s	remaining: 3.03s
432:	learn: 0.0291261	total: 19.3s	remaining: 2.98s
433:	learn: 0.0291208	total: 19.3s	remaining: 2.94s
