350:	learn: 0.0295891	total: 15.9s	remaining: 6.77s
351:	learn: 0.0295845	total: 16s	remaining: 6.72s
352:	learn: 0.0295805	total: 16s	remaining: 6.67s
353:	learn: 0.0295759	total: 16.1s	remaining: 6.62s
354:	learn: 0.0295710	total: 16.1s	remaining: 6.57s
355:	learn: 0.0295664	total: 16.1s	remaining: 6.53s
356:	learn: 0.0295599	total: 16.2s	remaining: 6.48s
357:	learn: 0.0295542	total: 16.2s	remaining: 6.44s
358:	learn: 0.0295491	total: 16.3s	remaining: 6.39s
359:	learn: 0.0295443	total: 16.3s	remaining: 6.34s
360:	learn: 0.0295384	total: 16.3s	remaining: 6.29s
361:	learn: 0.0295327	total: 16.4s	remaining: 6.25s
362:	learn: 0.0295266	total: 16.4s	remaining: 6.2s
363:	learn: 0.0295220	total: 16.5s	remaining: 6.15s
364:	learn: 0.0295166	total: 16.5s	remaining: 6.11s
365:	learn: 0.0295103	total: 16.6s	remaining: 6.06s
366:	learn: 0.0295049	total: 16.6s	remaining: 6.01s
367:	learn: 0.0294997	total: 16.6s	remaining: 5.97s
368:	learn: 0.0294926	total: 16.7s	remaining: 5.92s
369:	learn: 0.0294880	total: 16.7s	remaining: 5.88s
370:	learn: 0.0294805	total: 16.8s	remaining: 5.83s
371:	learn: 0.0294758	total: 16.8s	remaining: 5.79s
372:	learn: 0.0294702	total: 16.9s	remaining: 5.74s
373:	learn: 0.0294658	total: 16.9s	remaining: 5.69s
374:	learn: 0.0294601	total: 16.9s	remaining: 5.65s
375:	learn: 0.0294536	total: 17s	remaining: 5.6s
376:	learn: 0.0294494	total: 17s	remaining: 5.56s
377:	learn: 0.0294433	total: 17.1s	remaining: 5.51s
378:	learn: 0.0294376	total: 17.1s	remaining: 5.46s
379:	learn: 0.0294322	total: 17.2s	remaining: 5.42s
380:	learn: 0.0294264	total: 17.2s	remaining: 5.37s
381:	learn: 0.0294203	total: 17.2s	remaining: 5.33s
382:	learn: 0.0294153	total: 17.3s	remaining: 5.28s
383:	learn: 0.0294106	total: 17.3s	remaining: 5.23s
384:	learn: 0.0294047	total: 17.4s	remaining: 5.19s
385:	learn: 0.0293997	total: 17.4s	remaining: 5.14s
386:	learn: 0.0293938	total: 17.4s	remaining: 5.09s
387:	learn: 0.0293884	total: 17.5s	remaining: 5.05s
388:	learn: 0.0293835	total: 17.5s	remaining: 5s
389:	learn: 0.0293778	total: 17.6s	remaining: 4.96s
390:	learn: 0.0293723	total: 17.6s	remaining: 4.91s
391:	learn: 0.0293678	total: 17.7s	remaining: 4.86s
392:	learn: 0.0293617	total: 17.7s	remaining: 4.82s
393:	learn: 0.0293546	total: 17.8s	remaining: 4.78s
394:	learn: 0.0293496	total: 17.8s	remaining: 4.73s
395:	learn: 0.0293446	total: 17.8s	remaining: 4.68s
396:	learn: 0.0293378	total: 17.9s	remaining: 4.64s
397:	learn: 0.0293330	total: 17.9s	remaining: 4.59s
398:	learn: 0.0293270	total: 18s	remaining: 4.54s
399:	learn: 0.0293220	total: 18s	remaining: 4.5s
400:	learn: 0.0293171	total: 18s	remaining: 4.45s
401:	learn: 0.0293122	total: 18.1s	remaining: 4.41s
402:	learn: 0.0293073	total: 18.1s	remaining: 4.36s
403:	learn: 0.0293017	total: 18.2s	remaining: 4.32s
404:	learn: 0.0292974	total: 18.2s	remaining: 4.27s
405:	learn: 0.0292916	total: 18.2s	remaining: 4.22s
406:	learn: 0.0292871	total: 18.3s	remaining: 4.17s
407:	learn: 0.0292819	total: 18.3s	remaining: 4.13s
408:	learn: 0.0292761	total: 18.4s	remaining: 4.08s
409:	learn: 0.0292714	total: 18.4s	remaining: 4.04s
410:	learn: 0.0292663	total: 18.4s	remaining: 3.99s
411:	learn: 0.0292615	total: 18.5s	remaining: 3.94s
412:	learn: 0.0292559	total: 18.5s	remaining: 3.9s
413:	learn: 0.0292505	total: 18.5s	remaining: 3.85s
414:	learn: 0.0292452	total: 18.6s	remaining: 3.81s
