265:	test: 0.8004397	best: 0.8004397 (265)	total: 1h 54m 42s	remaining: 1h 40m 54s
266:	test: 0.8004591	best: 0.8004591 (266)	total: 1h 55m 9s	remaining: 1h 40m 29s
267:	test: 0.8004814	best: 0.8004814 (267)	total: 1h 55m 46s	remaining: 1h 40m 13s
268:	test: 0.8005071	best: 0.8005071 (268)	total: 1h 56m 10s	remaining: 1h 39m 46s
269:	test: 0.8005326	best: 0.8005326 (269)	total: 1h 56m 41s	remaining: 1h 39m 24s
270:	test: 0.8005591	best: 0.8005591 (270)	total: 1h 57m 5s	remaining: 1h 38m 56s
271:	test: 0.8005826	best: 0.8005826 (271)	total: 1h 57m 34s	remaining: 1h 38m 33s
272:	test: 0.8006079	best: 0.8006079 (272)	total: 1h 58m 7s	remaining: 1h 38m 13s
273:	test: 0.8006255	best: 0.8006255 (273)	total: 1h 58m 38s	remaining: 1h 37m 51s
274:	test: 0.8006461	best: 0.8006461 (274)	total: 1h 59m 7s	remaining: 1h 37m 28s
275:	test: 0.8006587	best: 0.8006587 (275)	total: 1h 59m 40s	remaining: 1h 37m 7s
276:	test: 0.8006702	best: 0.8006702 (276)	total: 2h 13s	remaining: 1h 36m 47s
277:	test: 0.8006787	best: 0.8006787 (277)	total: 2h 32s	remaining: 1h 36m 15s
278:	test: 0.8007036	best: 0.8007036 (278)	total: 2h 1m 5s	remaining: 1h 35m 55s
279:	test: 0.8007174	best: 0.8007174 (279)	total: 2h 1m 26s	remaining: 1h 35m 25s
280:	test: 0.8007310	best: 0.8007310 (280)	total: 2h 1m 53s	remaining: 1h 34m 59s
281:	test: 0.8007481	best: 0.8007481 (281)	total: 2h 2m 24s	remaining: 1h 34m 37s
282:	test: 0.8007629	best: 0.8007629 (282)	total: 2h 3m 3s	remaining: 1h 34m 21s
283:	test: 0.8007912	best: 0.8007912 (283)	total: 2h 3m 29s	remaining: 1h 33m 55s
