290:	test: 0.7136055	best: 0.7139279 (278)	total: 14.9s	remaining: 10.7s
291:	test: 0.7137792	best: 0.7139279 (278)	total: 15s	remaining: 10.7s
292:	test: 0.7136637	best: 0.7139279 (278)	total: 15s	remaining: 10.6s
293:	test: 0.7135942	best: 0.7139279 (278)	total: 15.1s	remaining: 10.6s
294:	test: 0.7136478	best: 0.7139279 (278)	total: 15.1s	remaining: 10.5s
295:	test: 0.7135280	best: 0.7139279 (278)	total: 15.2s	remaining: 10.5s
296:	test: 0.7136163	best: 0.7139279 (278)	total: 15.2s	remaining: 10.4s
297:	test: 0.7136197	best: 0.7139279 (278)	total: 15.3s	remaining: 10.3s
298:	test: 0.7136267	best: 0.7139279 (278)	total: 15.3s	remaining: 10.3s
299:	test: 0.7136188	best: 0.7139279 (278)	total: 15.3s	remaining: 10.2s
300:	test: 0.7138517	best: 0.7139279 (278)	total: 15.4s	remaining: 10.2s
301:	test: 0.7138756	best: 0.7139279 (278)	total: 15.4s	remaining: 10.1s
302:	test: 0.7139871	best: 0.7139871 (302)	total: 15.5s	remaining: 10.1s
303:	test: 0.7138138	best: 0.7139871 (302)	total: 15.5s	remaining: 10s
304:	test: 0.7137999	best: 0.7139871 (302)	total: 15.6s	remaining: 9.96s
305:	test: 0.7137986	best: 0.7139871 (302)	total: 15.6s	remaining: 9.91s
306:	test: 0.7138621	best: 0.7139871 (302)	total: 15.7s	remaining: 9.85s
307:	test: 0.7137645	best: 0.7139871 (302)	total: 15.7s	remaining: 9.79s
308:	test: 0.7138200	best: 0.7139871 (302)	total: 15.8s	remaining: 9.73s
309:	test: 0.7138747	best: 0.7139871 (302)	total: 15.8s	remaining: 9.68s
310:	test: 0.7138590	best: 0.7139871 (302)	total: 15.8s	remaining: 9.62s
311:	test: 0.7137677	best: 0.7139871 (302)	total: 15.9s	remaining: 9.56s
312:	test: 0.7136937	best: 0.7139871 (302)	total: 15.9s	remaining: 9.51s
313:	test: 0.7136790	best: 0.7139871 (302)	total: 16s	remaining: 9.45s
314:	test: 0.7137982	best: 0.7139871 (302)	total: 16s	remaining: 9.39s
315:	test: 0.7137741	best: 0.7139871 (302)	total: 16s	remaining: 9.34s
316:	test: 0.7137183	best: 0.7139871 (302)	total: 16.1s	remaining: 9.28s
317:	test: 0.7135858	best: 0.7139871 (302)	total: 16.1s	remaining: 9.23s
318:	test: 0.7135345	best: 0.7139871 (302)	total: 16.2s	remaining: 9.17s
319:	test: 0.7135677	best: 0.7139871 (302)	total: 16.2s	remaining: 9.11s
320:	test: 0.7135445	best: 0.7139871 (302)	total: 16.2s	remaining: 9.06s
321:	test: 0.7134475	best: 0.7139871 (302)	total: 16.3s	remaining: 9.01s
322:	test: 0.7134808	best: 0.7139871 (302)	total: 16.3s	remaining: 8.95s
323:	test: 0.7134770	best: 0.7139871 (302)	total: 16.4s	remaining: 8.9s
324:	test: 0.7134295	best: 0.7139871 (302)	total: 16.4s	remaining: 8.84s
325:	test: 0.7134952	best: 0.7139871 (302)	total: 16.5s	remaining: 8.8s
326:	test: 0.7135086	best: 0.7139871 (302)	total: 16.5s	remaining: 8.74s
