212:	learn: 6.9562362	test: 8.9710855	best: 8.9707975 (211)	total: 14.4s	remaining: 19.4s
213:	learn: 6.9514889	test: 8.9712042	best: 8.9707975 (211)	total: 14.5s	remaining: 19.3s
214:	learn: 6.9450923	test: 8.9710520	best: 8.9707975 (211)	total: 14.5s	remaining: 19.3s
215:	learn: 6.9388670	test: 8.9707179	best: 8.9707179 (215)	total: 14.6s	remaining: 19.2s
216:	learn: 6.9349460	test: 8.9708323	best: 8.9707179 (215)	total: 14.7s	remaining: 19.1s
217:	learn: 6.9310821	test: 8.9705784	best: 8.9705784 (217)	total: 14.7s	remaining: 19s
218:	learn: 6.9262622	test: 8.9708045	best: 8.9705784 (217)	total: 14.8s	remaining: 19s
219:	learn: 6.9192564	test: 8.9711376	best: 8.9705784 (217)	total: 14.8s	remaining: 18.9s
220:	learn: 6.9148346	test: 8.9712925	best: 8.9705784 (217)	total: 14.9s	remaining: 18.8s
221:	learn: 6.9103152	test: 8.9708278	best: 8.9705784 (217)	total: 15s	remaining: 18.7s
222:	learn: 6.9059211	test: 8.9700826	best: 8.9700826 (222)	total: 15s	remaining: 18.7s
223:	learn: 6.8991875	test: 8.9703603	best: 8.9700826 (222)	total: 15.1s	remaining: 18.6s
224:	learn: 6.8937338	test: 8.9702248	best: 8.9700826 (222)	total: 15.2s	remaining: 18.5s
225:	learn: 6.8889588	test: 8.9699576	best: 8.9699576 (225)	total: 15.2s	remaining: 18.4s
226:	learn: 6.8844233	test: 8.9695773	best: 8.9695773 (226)	total: 15.3s	remaining: 18.4s
227:	learn: 6.8808009	test: 8.9694415	best: 8.9694415 (227)	total: 15.3s	remaining: 18.3s
228:	learn: 6.8748439	test: 8.9696159	best: 8.9694415 (227)	total: 15.4s	remaining: 18.2s
229:	learn: 6.8700351	test: 8.9695741	best: 8.9694415 (227)	total: 15.5s	remaining: 18.1s
230:	learn: 6.8629257	test: 8.9694880	best: 8.9694415 (227)	total: 15.5s	remaining: 18.1s
231:	learn: 6.8570494	test: 8.9700137	best: 8.9694415 (227)	total: 15.6s	remaining: 18s
232:	learn: 6.8497769	test: 8.9698186	best: 8.9694415 (227)	total: 15.6s	remaining: 17.9s
233:	learn: 6.8454045	test: 8.9692272	best: 8.9692272 (233)	total: 15.7s	remaining: 17.9s
234:	learn: 6.8412578	test: 8.9690909	best: 8.9690909 (234)	total: 15.8s	remaining: 17.8s
235:	learn: 6.8362023	test: 8.9692242	best: 8.9690909 (234)	total: 15.8s	remaining: 17.7s
236:	learn: 6.8322889	test: 8.9691087	best: 8.9690909 (234)	total: 15.9s	remaining: 17.6s
237:	learn: 6.8286664	test: 8.9690585	best: 8.9690585 (237)	total: 15.9s	remaining: 17.5s
238:	learn: 6.8239394	test: 8.9689508	best: 8.9689508 (238)	total: 16s	remaining: 17.5s
239:	learn: 6.8188756	test: 8.9692070	best: 8.9689508 (238)	total: 16.1s	remaining: 17.4s
240:	learn: 6.8142959	test: 8.9697125	best: 8.9689508 (238)	total: 16.1s	remaining: 17.3s
241:	learn: 6.8079228	test: 8.9689162	best: 8.9689162 (241)	total: 16.2s	remaining: 17.3s
242:	learn: 6.8025956	test: 8.9689319	best: 8.9689162 (241)	total: 16.3s	remaining: 17.2s
243:	learn: 6.7986359	test: 8.9693441	best: 8.9689162 (241)	total: 16.3s	remaining: 17.1s
244:	learn: 6.7928097	test: 8.9697986	best: 8.9689162 (241)	total: 16.4s	remaining: 17s
245:	learn: 6.7895006	test: 8.9695924	best: 8.9689162 (241)	total: 16.4s	remaining: 17s
246:	learn: 6.7847740	test: 8.9697824	best: 8.9689162 (241)	total: 16.5s	remaining: 16.9s
247:	learn: 6.7786823	test: 8.9695141	best: 8.9689162 (241)	total: 16.6s	remaining: 16.8s
248:	learn: 6.7734006	test: 8.9692021	best: 8.9689162 (241)	total: 16.6s	remaining: 16.8s
249:	learn: 6.7698848	test: 8.9690836	best: 8.9689162 (241)	total: 16.7s	remaining: 16.7s
250:	learn: 6.7663997	test: 8.9696164	best: 8.9689162 (241)	total: 16.7s	remaining: 16.6s
251:	learn: 6.7621427	test: 8.9697536	best: 8.9689162 (241)	total: 16.8s	remaining: 16.5s
252:	learn: 6.7568981	test: 8.9691338	best: 8.9689162 (241)	total: 16.9s	remaining: 16.5s
253:	learn: 6.7521161	test: 8.9688239	best: 8.9688239 (253)	total: 16.9s	remaining: 16.4s
254:	learn: 6.7480818	test: 8.9689430	best: 8.9688239 (253)	total: 17s	remaining: 16.3s
255:	learn: 6.7422774	test: 8.9680737	best: 8.9680737 (255)	total: 17.1s	remaining: 16.3s
256:	learn: 6.7356918	test: 8.9681968	best: 8.9680737 (255)	total: 17.1s	remaining: 16.2s
257:	learn: 6.7323068	test: 8.9685437	best: 8.9680737 (255)	total: 17.2s	remaining: 16.1s
258:	learn: 6.7281706	test: 8.9685496	best: 8.9680737 (255)	total: 17.3s	remaining: 16.1s
259:	learn: 6.7229810	test: 8.9681682	best: 8.9680737 (255)	total: 17.3s	remaining: 16s
260:	learn: 6.7185000	test: 8.9686069	best: 8.9680737 (255)	total: 17.4s	remaining: 15.9s
261:	learn: 6.7135686	test: 8.9687815	best: 8.9680737 (255)	total: 17.4s	remaining: 15.8s
262:	learn: 6.7088550	test: 8.9684068	best: 8.9680737 (255)	total: 17.5s	remaining: 15.8s
263:	learn: 6.7057212	test: 8.9682894	best: 8.9680737 (255)	total: 17.6s	remaining: 15.7s
264:	learn: 6.7006790	test: 8.9686131	best: 8.9680737 (255)	total: 17.6s	remaining: 15.6s
