316:	test: 0.7108447	best: 0.7117591 (263)	total: 15.3s	remaining: 8.84s
317:	test: 0.7108417	best: 0.7117591 (263)	total: 15.3s	remaining: 8.79s
318:	test: 0.7107387	best: 0.7117591 (263)	total: 15.4s	remaining: 8.73s
319:	test: 0.7106301	best: 0.7117591 (263)	total: 15.4s	remaining: 8.68s
320:	test: 0.7107212	best: 0.7117591 (263)	total: 15.5s	remaining: 8.64s
321:	test: 0.7108295	best: 0.7117591 (263)	total: 15.5s	remaining: 8.6s
322:	test: 0.7109315	best: 0.7117591 (263)	total: 15.6s	remaining: 8.55s
323:	test: 0.7108918	best: 0.7117591 (263)	total: 15.6s	remaining: 8.49s
324:	test: 0.7109687	best: 0.7117591 (263)	total: 15.7s	remaining: 8.44s
325:	test: 0.7110317	best: 0.7117591 (263)	total: 15.7s	remaining: 8.39s
326:	test: 0.7108589	best: 0.7117591 (263)	total: 15.8s	remaining: 8.34s
327:	test: 0.7110249	best: 0.7117591 (263)	total: 15.8s	remaining: 8.29s
